"id","type","fe","affiliation","country_code"
323,"Infantry Bde (SBCT)",909,"blue","us"
324,"Infantry Bn (SBCT)",136,"blue","us"
325,"Infantry Co (SBCT)",31,"blue","us"
326,"Recon Sqdn (SBCT)",117,"blue","us"
327,"Recon Trp (SBCT)",29,"blue","us"
328,"FA Bn (M777)",86,"blue","us"
329,"FA Btry (M777)",20,"blue","us"
330,"AT Co (SBCT)",15,"blue","us"
331,"EN Co (SBCT)",44,"blue","us"
332,"MP Plt (SBCT)",13,"blue","us"
333,"Armored Bde (ABCT)",900,"blue","us"
334,"Combined Arms Bn",151,"blue","us"
335,"Infantry Co (M2A2)",24,"blue","us"
336,"Tank Co (M1A1)",23,"blue","us"
337,"Recon Sqdn (ABCT)",108,"blue","us"
338,"Recon Trp (ABCT)",27,"blue","us"
339,"FA Bn (M109A6)",82,"blue","us"
340,"FA Btry (M109A6)",28,"blue","us"
341,"EN Co (ABCT)",38,"blue","us"
342,"MP Plt (ABCT)",14,"blue","us"
343,"Infantry Bde (IBCT)",623,"blue","us"
344,"Infantry Bn (IBCT)",97,"blue","us"
345,"Infantry Co (IBCT)",13,"blue","us"
346,"Recon Sqdn (IBCT)",92,"blue","us"
347,"Recon Trp (IBCT)",31,"blue","us"
348,"FA Bn (M106)",53,"blue","us"
349,"FA Btry (M106)",16,"blue","us"
350,"EN Co (IBCT)",15,"blue","us"
351,"MP Plt (IBCT)",14,"blue","us"
352,"Armored Bde (UK)",802,"blue","us"
353,"Recon Squadron (UK)",48,"blue","us"
354,"Mech Inf Bn (UK)",85,"blue","us"
355,"Armored Inf Bn (UK)",87.6,"blue","us"
356,"Light Inf Bn (UK)",32.4,"blue","us"
357,"Tank Regt (UK)",62.4,"blue","us"
358,"FA Bn (UK)",68.4,"blue","us"
359,"EN Regt (UK)",65,"blue","us"
360,"ADA Btry (UK)",20,"blue","us"
361,"Armored Bde (TR)",429,"blue","us"
362,"Mech Inf Bn (TR)",86,"blue","us"
363,"Tank Bn (TR)",83,"blue","us"
364,"FA Bn (TR)",63,"blue","us"
365,"Inf Bde (AZ) (5, 6, 7)",271.21,"blue","us"
366,"Inf Bn (AZ)",115.41,"blue","us"
367,"Inf Co (AZ)",14.73,"blue","us"
368,"Tank Bn (AZ) (T72)",62.6,"blue","us"
